Employee,Sessions,Worked hours,Hours (decimal)
"Dave","12:01 PM - 07:54 PM","7:53",7.88
"JP","04:59 PM - 11:14 PM","6:15",6.25
"Bella","11:10 AM - 06:37 PM","7:27",7.45
"Khoa","11:41 AM - 08:27 PM","8:46",8.77
"Sophie","04:39 PM - 10:39 PM","6:00",6.00
"Luc","05:30 PM - 11:40 PM","6:10",6.17
"Minh","04:42 PM - 09:39 PM","4:57",4.95
"Liam","05:35 PM - 11:37 PM","6:02",6.03
"Emma","04:34 PM - 05:00 AM","12:26",12.43
"Hai","05:30 PM - 11:19 PM","5:49",5.82
"Noah","04:56 PM - 09:53 PM","4:57",4.95
"Kevin","04:36 PM - 10:45 PM","6:09",6.15
"Olivia","11:37 AM - 05:00 AM","17:23",17.38
Total 12.07.2026,,,100.23
