Employee,Sessions,Worked hours,Hours (decimal)
"Truc Le","10:00 AM - 06:00 PM","8:00",8.00
"JP","11:40 AM - 06:44 PM","7:04",7.07
"Marie","11:54 AM - 08:43 PM","8:49",8.82
"Sophie","11:54 AM - 07:50 PM","7:56",7.93
"Luc","05:29 PM - 11:19 PM","5:50",5.83
"Chloe","11:26 AM - 06:36 PM","7:10",7.17
"Kevin","10:50 AM - 07:48 PM","8:58",8.97
"Emma","05:19 PM - 11:25 PM","6:06",6.10
"Liam","11:16 AM - 06:37 PM","7:21",7.35
"Hai","04:34 PM - 10:46 PM","6:12",6.20
"Noah","11:12 AM - 07:31 PM","8:19",8.32
Total 31.07.2026,,,81.76
